"No.","Time","Source","Destination","Protocol","Length","Info"
"13031","450.022380","161.111.136.191","224.0.0.251","MDNS","93","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13032","450.022380","fe80::c1a:4e52:ec76:c89e","ff02::fb","MDNS","113","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13033","450.022980","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"13034","450.119095","fe80::102b:e48d:b99e:a70b","ff02::fb","MDNS","113","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13035","450.119098","161.111.137.243","224.0.0.251","MDNS","93","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13036","450.120034","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"13037","450.142433","161.111.137.247","239.255.255.250","SSDP","559","NOTIFY * HTTP/1.1 "
"13038","450.163294","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","585","NOTIFY * HTTP/1.1 "
"13039","450.197920","161.111.136.158","161.111.139.255","UDP","82","50753  >  1947 Len=40"
"13040","450.211669","161.111.137.136","224.0.0.251","MDNS","93","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13041","450.211670","fe80::1431:a6d5:26a7:2ee3","ff02::fb","MDNS","113","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13042","450.212448","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"13043","450.249455","161.111.137.247","239.255.255.250","SSDP","545","NOTIFY * HTTP/1.1 "
"13044","450.261130","161.111.136.244","224.0.0.251","MDNS","93","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13045","450.261206","fe80::1b:1c80:bc3:1b7a","ff02::fb","MDNS","113","Standard query 0x0000 TXT BA-07E676._device-info._tcp.local, ""QU"" question"
"13046","450.261783","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"13047","450.266458","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","571","NOTIFY * HTTP/1.1 "
"13048","450.303457","161.111.137.247","239.255.255.250","SSDP","543","NOTIFY * HTTP/1.1 "
"13049","450.340091","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","569","NOTIFY * HTTP/1.1 "
"13050","450.361265","161.111.136.244","224.0.0.251","MDNS","258","Standard query 0x0000 SRV Deskjet 6940 series [66EC2C]._pdl-datastream._tcp.local, ""QU"" question TXT Deskjet 6940 series [66EC2C]._pdl-datastream._tcp.local, ""QU"" question SRV HP LaserJet P3005 GMO [923DC3]._pdl-datastream._tcp.local, ""QU"" question TXT HP LaserJet P3005 GMO [923DC3]._pdl-datastream._tcp.local, ""QU"" question SRV hp2k3cc - HP LaserJet P3005 [A3BE17]._pdl-datastream._tcp.local, ""QU"" question TXT hp2k3cc - HP LaserJet P3005 [A3BE17]._pdl-datastream._tcp.local, ""QU"" question SRV HP Color LaserJet MFP M281fdn (3FB77B)._pdl-datastream._tcp.local, ""QU"" question"
"13051","450.361266","fe80::1b:1c80:bc3:1b7a","ff02::fb","MDNS","278","Standard query 0x0000 SRV Deskjet 6940 series [66EC2C]._pdl-datastream._tcp.local, ""QU"" question TXT Deskjet 6940 series [66EC2C]._pdl-datastream._tcp.local, ""QU"" question SRV HP LaserJet P3005 GMO [923DC3]._pdl-datastream._tcp.local, ""QU"" question TXT HP LaserJet P3005 GMO [923DC3]._pdl-datastream._tcp.local, ""QU"" question SRV hp2k3cc - HP LaserJet P3005 [A3BE17]._pdl-datastream._tcp.local, ""QU"" question TXT hp2k3cc - HP LaserJet P3005 [A3BE17]._pdl-datastream._tcp.local, ""QU"" question SRV HP Color LaserJet MFP M281fdn (3FB77B)._pdl-datastream._tcp.local, ""QU"" question"
"13052","450.362150","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"13053","450.362659","161.111.138.231","224.0.0.251","MDNS","312","Standard query response 0x0000 A, cache flush 161.111.138.231 SRV, cache flush 0 0 9100 HP66EC2C.local TXT, cache flush"
"13054","450.363159","161.111.136.62","224.0.0.251","MDNS","341","Standard query response 0x0000 SRV, cache flush 0 0 9100 NPI923DC3.local TXT, cache flush"
"13055","450.364020","161.111.136.60","224.0.0.251","MDNS","359","Standard query response 0x0000 A, cache flush 161.111.136.60 SRV, cache flush 0 0 9100 hp2k3cc.local TXT, cache flush"
"13056","450.392505","161.111.137.60","224.0.0.251","MDNS","172","Standard query 0x0000 SRV DiscGeoMC._smb._tcp.local, ""QM"" question A NASUrgeles.local, ""QM"" question AAAA NASUrgeles.local, ""QM"" question SRV NASURGELES._smb._tcp.local, ""QM"" question SRV wavetank(FTP)._ftp._tcp.local, ""QM"" question A DiscGeoMC.local, ""QM"" question AAAA DiscGeoMC.local, ""QM"" question"
"13057","450.393252","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"13058","450.431072","161.111.139.231","224.0.0.251","MDNS","153","Standard query response 0x0000 AAAA, cache flush fe80::211:32ff:fe94:9123 SRV, cache flush 0 0 445 DiscGeoMC.local A, cache flush 161.111.139.231"
